DAY;PARTICIPANT;PHASE OF THE DAY;ENVIRONMENT;LIGHT;SCENARIO;SKY CONDITION;TIME AND DATE;mEDI;? ALPHA AVG.;? BETA LOW AVG.;? GAMMA AVG.
2;6;12.52;RE;DL;EXP;CIE Standard Overcast Sky;Day;294;7,0038;5,9742;10,2180
2;6;12.53;RE;DL;CONT;CIE Standard Overcast Sky;Day;288;6,1316;3,6976;7,3779
2;6;12.55;RE;DL;ACT;CIE Standard Overcast Sky;Day;285;9,2651;7,7873;10,6860
2;6;12.56;RE;DL+EL;CONT;CIE Standard Overcast Sky;Day;506;7,8641;4,4523;7,8662
2;6;12.58;RE;DL+EL;EXP;CIE Standard Overcast Sky;Day;527;7,3755;5,0605;6,8845
2;6;12.59;RE;DL+EL;CONT;CIE Standard Overcast Sky;Day;529;10,0511;4,7594;7,7357
2;6;13.01;RE;DL+EL;ACT;CIE Standard Overcast Sky;Day;601;8,2230;6,9279;8,9297
2;6;13.08;VR;DL;CONT;OVERCAST;DAY;486;9,2190;8,0049;13,8307
2;6;13.09;VR;DL;EXP;OVERCAST;DAY;502;7,8252;7,5743;14,1580
2;6;13.11;VR;DL;CONT;OVERCAST;DAY;564;11,2924;9,1618;14,9741
2;6;13.13;VR;DL;ACT;OVERCAST;DAY;498;9,9044;9,3382;14,6918
2;6;13.15;VR;DL+EL;CONT;OVERCAST;DAY;790;7,1937;5,6201;11,0609
2;6;13.16;VR;DL+EL;EXP;OVERCAST;DAY;722;8,6834;8,2069;14,3325
2;6;13.18;VR;DL+EL;CONT;OVERCAST;DAY;731;8,9786;6,2559;12,5563
2;6;13.20;VR;DL+EL;ACT;OVERCAST;DAY;764;9,0749;7,7414;12,5098
3;7;11.00;RE;DL;CONT;Partly Cloudy, no grade, some Sun;Day;1256;10,6489;8,4263;8,5556
3;7;11.01;RE;DL;EXP;Partly Cloudy, no grade, some Sun;Day;1259;11,5651;9,0110;7,2803
3;7;11.03;RE;DL;CONT;Partly Cloudy, no grade, some Sun;Day;1303;9,9850;8,2232;7,3521
3;7;11.04;RE;DL;ACT;Partly Cloudy, no grade, some Sun;Day;1311;11,8723;9,5757;9,4151
3;7;11.07;RE;DL+EL;CONT;Partly Cloudy, no grade, some Sun;Day;1498;10,2847;8,7244;7,3016
3;7;11.08;RE;DL+EL;EXP;Partly Cloudy, no grade, some Sun;Day;1509;11,2810;8,9430;6,9245
3;7;11.10;RE;DL+EL;CONT;Partly Cloudy, no grade, some Sun;Day;1513;11,1159;8,6875;7,8186
3;7;11.12;RE;DL+EL;ACT;Partly Cloudy, no grade, some Sun;Day;1512;11,9170;9,0682;8,8145
3;7;11.20;VR;DL;CONT;HAZY;DAY;1526;10,8386;9,3835;10,6015
3;7;11.21;VR;DL;EXP;HAZY;DAY;1329;11,7901;9,2339;10,1505
3;7;11.23;VR;DL;CONT;HAZY;DAY;1404;11,3033;9,6015;7,7424
3;7;11.25;VR;DL;ACT;HAZY;DAY;1355;13,0430;11,3944;12,6932
3;7;11.27;VR;DL+EL;CONT;HAZY;DAY;1515;10,8152;9,0188;6,6662
3;7;11.29;VR;DL+EL;EXP;HAZY;DAY;1506;11,4283;8,1034;6,9916
3;7;11.31;VR;DL+EL;CONT;HAZY;DAY;1540;11,4317;10,2815;10,3068
3;7;11.33;VR;DL+EL;ACT;HAZY;DAY;1458;11,8576;10,1335;12,1419
